Epsilon:1,-0.826397;0.77377,-0.824803;0.548048,-0.756986;0.320286,-0.681511;0.0940823,-0.597034;-0.120451,-0.487859;-0.320054,-0.357238;-0.505469,-0.205859;-0.633718,-0.0132315;-0.498629,0.143096;-0.264137,0.183996;-0.0237137,0.194677;0.0365887,0.167448;-0.196504,0.200706;-0.368239,0.341936;-0.273656,0.547213;-0.0634627,0.650756;0.16774,0.698406;0.408792,0.705213;0.646028,0.677985;
Alpha:0.493641,-0.934531;0.443579,-0.739463;0.3694,-0.540469;0.264759,-0.353851;0.14871,-0.172917;0.0148833,-0.00435584;-0.128421,0.155322;-0.291422,0.293528;-0.48255,0.382002;-0.563382,0.255554;-0.481597,0.0665229;-0.342477,-0.0892316;-0.177284,-0.126761;-0.0838693,0.0561426;0.0297638,0.234598;0.20897,0.331366;0.422749,0.331789;0.630806,0.285644;0.824618,0.195108;1,0.0718571;
Beta:-1,0.910763;-0.977854,0.64087;-0.966781,0.364419;-0.944635,0.0905814;-0.880673,-0.169439;-0.739052,-0.40212;-0.536995,-0.588599;-0.296405,-0.711585;-0.0338974,-0.783407;0.240757,-0.805553;0.519823,-0.805553;0.479416,-0.601873;0.361979,-0.369479;0.34575,-0.102037;0.492102,0.113506;0.671909,0.279602;0.643952,0.467843;0.389719,0.512135;0.133587,0.5675;-0.0698677,0.656084;
Gamma:-0.847894,-0.82158;-0.643933,-0.548057;-0.399733,-0.286968;-0.147172,-0.0344063;0.105239,0.218004;0.31567,0.500553;0.346787,0.825821;0.0301147,0.929056;-0.328121,0.91825;-0.669897,0.834346;-0.94117,0.630459;-0.87503,0.299644;-0.631031,0.0421968;-0.352779,-0.182683;-0.0671575,-0.392;0.228205,-0.592375;0.510523,-0.796778;0.643389,-0.724369;0.702398,-0.395153;1,-0.378518;
Delta:0.609668,-0.853483;0.465154,-0.970697;0.23273,-1;0.0466905,-0.886341;-0.0447739,-0.672704;-0.0740773,-0.436079;-0.0643095,-0.193822;-0.0154706,0.0413727;0.0540375,0.273214;0.124285,0.503493;0.170118,0.735995;0.00451031,0.807487;-0.218221,0.730087;-0.427263,0.631222;-0.542932,0.473719;-0.428439,0.282303;-0.23139,0.163396;-0.0431385,0.0646897;0.16975,0.0158507;0.394777,-0.00368486;
Epsilon:0.836556,-0.945697;0.606931,-0.992242;0.366698,-0.986163;0.138504,-0.909539;-0.0679238,-0.785947;-0.256473,-0.636185;-0.409176,-0.451175;-0.482235,-0.224234;-0.402002,-0.00947174;-0.197246,0.116413;0.0338969,0.179154;0.246978,0.168037;0.0131718,0.148663;-0.196369,0.250137;-0.303811,0.445847;-0.175466,0.621337;0.0437801,0.694284;0.283471,0.721612;0.528159,0.722186;0.766737,0.691155;
Alpha:0.734639,-0.911706;0.639914,-0.699511;0.516726,-0.483463;0.369484,-0.28119;0.208595,-0.0890065;0.0379718,0.0935703;-0.157357,0.252;-0.368706,0.386769;-0.60382,0.45301;-0.698313,0.269702;-0.611218,0.0474811;-0.444072,-0.131289;-0.224948,-0.242369;-0.0159553,-0.248935;0.037117,-0.0153234;0.104142,0.215554;0.280708,0.373889;0.528012,0.399938;0.772588,0.346852;1,0.240721;
Beta:-1,0.281676;-0.94013,0.0842011;-0.816517,-0.0983855;-0.653589,-0.241656;-0.49066,-0.384927;-0.288342,-0.496797;-0.0595647,-0.546184;0.176428,-0.563613;0.415975,-0.563613;0.648845,-0.535334;0.798695,-0.415926;0.691637,-0.230489;0.502524,-0.0918237;0.32891,0.0437781;0.326906,0.240794;0.425196,0.405082;0.248005,0.507741;0.0268802,0.552215;-0.198518,0.586373;-0.429922,0.606031;
Gamma:-1,-0.870721;-0.740328,-0.677635;-0.486511,-0.444062;-0.222316,-0.219535;0.03716,0.0107481;0.265089,0.267968;0.400692,0.578096;0.306068,0.871075;-0.0256021,0.919729;-0.357482,0.846894;-0.639829,0.666866;-0.698348,0.343876;-0.533636,0.0453849;-0.284919,-0.194311;-0.0252481,-0.419084;0.22653,-0.647376;0.294183,-0.524073;0.403986,-0.215998;0.709069,-0.187804;0.975333,-0.393916;
Delta:0.693571,-0.934381;0.480538,-1;0.218359,-1;-0.0106476,-0.895725;-0.117675,-0.676208;-0.100424,-0.422569;0.0120748,-0.188198;0.155122,0.0270281;0.313569,0.232345;0.481093,0.427992;0.559479,0.631096;0.301184,0.64047;0.0457007,0.611996;-0.210588,0.584225;-0.466041,0.552805;-0.68819,0.46797;-0.591951,0.285522;-0.371253,0.177314;-0.169493,0.0499009;0.0280091,-0.0532144;
Epsilon:0.529139,-0.457012;0.410523,-0.555565;0.229473,-0.57199;0.0479829,-0.555783;-0.119634,-0.483485;-0.273902,-0.387638;-0.418672,-0.280581;-0.467913,-0.123608;-0.321846,-0.0201722;-0.159682,0.0521748;-0.238855,0.123351;-0.359154,0.223226;-0.244842,0.327675;-0.0725789,0.37548;0.103851,0.408058;0.282801,0.429959;0.462559,0.451859;0.644093,0.462809;0.825509,0.446146;1,0.391633;
Alpha:0.616678,-0.900498;0.527918,-0.699385;0.42239,-0.493409;0.294544,-0.298335;0.150082,-0.116669;-0.00786197,0.0544922;-0.175392,0.215413;-0.355393,0.362369;-0.547316,0.487394;-0.658861,0.376382;-0.600947,0.160078;-0.468029,-0.0198411;-0.28412,-0.155998;-0.0734967,-0.232988;0.0576629,-0.0980568;0.141989,0.105231;0.32913,0.234572;0.551223,0.289124;0.783036,0.281948;1,0.203207;
Beta:-0.74221,0.940027;-0.74221,0.657151;-0.74221,0.374275;-0.71034,0.0989223;-0.667847,-0.17203;-0.604108,-0.436074;-0.45613,-0.663333;-0.206873,-0.749066;0.0690951,-0.72782;0.290507,-0.600341;0.277525,-0.355912;0.35444,-0.119839;0.575499,0.0476758;0.815818,0.175155;0.973324,0.302633;0.701071,0.313257;0.423211,0.334503;0.155249,0.401;-0.102379,0.503256;-0.327904,0.62133;
Gamma:-0.900417,-0.572431;-0.639606,-0.458131;-0.376214,-0.322017;-0.115122,-0.177743;0.136639,-0.0136403;0.360991,0.178809;0.44169,0.444878;0.184206,0.580333;-0.112405,0.611303;-0.414545,0.611303;-0.696322,0.532167;-0.784956,0.283749;-0.593886,0.0631933;-0.344284,-0.0974947;-0.0802697,-0.237638;0.180318,-0.371116;0.299422,-0.219481;0.523297,-0.097327;0.788639,-0.200018;1,-0.403326;
Delta:0.764008,-0.979443;0.518209,-1;0.271174,-0.969164;0.0376938,-0.888669;-0.155823,-0.738;-0.222737,-0.509572;-0.171378,-0.270286;-0.0425335,-0.0537122;0.111906,0.142102;0.289145,0.319776;0.459281,0.494028;0.461677,0.638548;0.214118,0.654854;-0.0377697,0.644575;-0.287231,0.624018;-0.52301,0.570431;-0.603046,0.361311;-0.448231,0.171124;-0.240435,0.0455569;-0.0377228,-0.0543693;
Epsilon:0.917114,-1;0.659573,-0.917195;0.403425,-0.791998;0.143195,-0.677392;-0.10817,-0.549369;-0.344469,-0.391126;-0.507814,-0.171177;-0.37219,0.0296255;-0.0985769,0.084784;0.186168,0.093977;0.467105,0.0755909;0.33399,0.0204324;0.0550772,0.0572047;-0.21289,0.148887;-0.466639,0.268646;-0.544586,0.505464;-0.340417,0.683295;-0.0722745,0.755879;0.210979,0.774265;0.494232,0.755879;
Alpha:0.482982,-0.793447;0.426878,-0.534751;0.327575,-0.267209;0.192935,-0.0136981;0.0261571,0.219235;-0.18774,0.411527;-0.437542,0.553175;-0.716442,0.602501;-0.852647,0.423757;-0.770033,0.152912;-0.602658,-0.0783361;-0.405333,-0.284278;-0.192445,-0.471316;-0.0598866,-0.423463;0.000432119,-0.14889;0.134635,0.099049;0.350496,0.273441;0.620212,0.275698;0.835376,0.0959046;1,-0.129941;
Beta:-1,0.669146;-0.988609,0.401066;-0.970873,0.132454;-0.931292,-0.128971;-0.817738,-0.364817;-0.631849,-0.55336;-0.389318,-0.667117;-0.124776,-0.709214;0.148023,-0.709214;0.416676,-0.688847;0.675781,-0.639621;0.695113,-0.445005;0.53784,-0.237352;0.469491,0.00249247;0.526448,0.247055;0.65643,0.445995;0.446143,0.521058;0.176033,0.509667;-0.0877264,0.531488;-0.236776,0.532449;
Gamma:-0.684297,-0.862775;-0.466678,-0.688622;-0.255442,-0.455653;-0.0487568,-0.216369;0.138181,0.0357678;0.23935,0.332867;0.204027,0.642239;-0.012553,0.864987;-0.317437,0.919319;-0.601289,0.808693;-0.716896,0.54112;-0.625007,0.246551;-0.424788,0.00739616;-0.174902,-0.187729;0.0850386,-0.371605;0.337549,-0.564149;0.434946,-0.5761;0.473179,-0.270354;0.699617,-0.102125;1,-0.167324;
Delta:0.84145,-0.453448;0.84145,-0.699814;0.710689,-0.887849;0.485423,-0.983684;0.232927,-0.987854;0.0463287,-0.83645;-0.0694697,-0.618709;-0.118052,-0.3688;-0.118052,-0.105258;-0.0587844,0.140225;0.0151908,0.38388;0.0519862,0.636572;-0.0208873,0.827241;-0.272654,0.84613;-0.528298,0.821839;-0.70104,0.70258;-0.573243,0.499712;-0.390754,0.310576;-0.231278,0.133456;-0.0208873,0.0566665;
Epsilon:0.877697,-0.791132;0.651176,-0.809947;0.415888,-0.790721;0.192814,-0.716816;-0.0262868,-0.626081;-0.235308,-0.512162;-0.429903,-0.377283;-0.552305,-0.191992;-0.391386,-0.0375132;-0.181626,0.0593514;0.038057,0.112028;-0.139981,0.159068;-0.34571,0.253525;-0.367446,0.441305;-0.178277,0.523688;0.0522632,0.5542;0.286121,0.582424;0.523726,0.591831;0.761332,0.601239;1,0.610647;
Alpha:0.553896,-1;0.51367,-0.788233;0.466766,-0.571027;0.3938,-0.358806;0.292805,-0.159168;0.164863,0.0260404;0.0220656,0.199308;-0.14969,0.342865;-0.340883,0.458121;-0.556169,0.501786;-0.61202,0.312763;-0.5166,0.11522;-0.366539,-0.0460426;-0.185519,-0.174393;-0.00927338,-0.25725;0.0310257,-0.0479025;0.130812,0.145039;0.315216,0.258414;0.539199,0.267132;0.748324,0.193383;
Beta:-0.77953,1;-0.829004,0.72005;-0.857103,0.430447;-0.895889,0.143368;-0.908818,-0.152119;-0.88296,-0.442251;-0.73831,-0.683177;-0.493279,-0.823869;-0.209037,-0.874675;0.0827365,-0.878637;0.344535,-0.797102;0.405045,-0.538526;0.297504,-0.296824;0.280631,-0.0235581;0.448262,0.197972;0.668495,0.364453;0.797782,0.563999;0.563447,0.650923;0.279245,0.691095;0.0349838,0.767282;
